age,income,economic_status,employment,car_avail,bike_avail,pt_abo_avail,zone,main_mode,share
,,high,,,,,,pt,0.15949695680111672
,,high,,,,,,ride,0.07166020284853133
,,high,,,,,,walk,0.2268283439488749
,,very_high,,,,,,bike,0.22726672134282166
,,very_high,,,,,,car,0.2954383612778421
,,very_high,,,,,,pt,0.14312432796404473
,,very_high,,,,,,ride,0.08134758148832787
,,very_high,,,,,,walk,0.2528230079269637
,,,child,,,,,bike,0.22855351616519973
,,,child,,,,,pt,0.10475328187882578
,,,child,,,,,ride,0.34595238919112586
,,,child,,,,,walk,0.32074081276484856
,,,homemaker,,,,,bike,0.10215287544035133
,,,homemaker,,,,,car,0.27679270536875017
,,,homemaker,,,,,pt,0.17536620253824914
,,,homemaker,,,,,ride,0.06749842246689819
,,,homemaker,,,,,walk,0.3781897941857511
,,,retiree,,,,,bike,0.10221696090756713
,,,retiree,,,,,car,0.25527168644331566
,,,retiree,,,,,pt,0.19965230972956965
,,,retiree,,,,,ride,0.10660811546644504
,,,retiree,,,,,walk,0.3362509274531026
,,,unemployed,,,,,bike,0.2691850630152912
,,,unemployed,,,,,car,0.1381702396253541
,,,unemployed,,,,,pt,0.204700111726264
,,,unemployed,,,,,ride,0.04524267897646792
,,,unemployed,,,,,walk,0.34270190665662265
,,,school,,,,,bike,0.2055244078517924
,,,school,,,,,car,0.0007348486428329436
,,,school,,,,,pt,0.30333894243519666
,,,school,,,,,ride,0.16544140126293672
,,,school,,,,,walk,0.32496039980724123
,,,student,,,,,bike,0.3864363357519719
,,,student,,,,,car,0.07840630671649383
,,,student,,,,,pt,0.31462611370414634
,,,student,,,,,ride,0.03106616200024392
,,,student,,,,,walk,0.18946508182714422
,,,trainee,,,,,bike,0.33116483040245265
,,,trainee,,,,,car,0.1190847451152627
,,,trainee,,,,,pt,0.37070013331097923
,,,trainee,,,,,ride,0.010722299509818147
,,,trainee,,,,,walk,0.16832799166148749
,,,job_full_time,,,,,bike,0.17960895623604914
,,,job_full_time,,,,,car,0.42249900039496624
,,,job_full_time,,,,,pt,0.16286135521457565
,,,job_full_time,,,,,ride,0.026419826327174295
,,,job_full_time,,,,,walk,0.2086108618272347
,,,job_part_time,,,,,bike,0.24229233671806327
,,,job_part_time,,,,,car,0.36244707942612336
,,,job_part_time,,,,,pt,0.14032176232130572
,,,job_part_time,,,,,ride,0.03670726244577295
,,,job_part_time,,,,,walk,0.2182315590887347
,,,other,,,,,bike,0.09167873756127877
,,,other,,,,,car,0.353271276241876
,,,other,,,,,pt,0.11791024489540788
,,,other,,,,,ride,0.06417736697729615
,,,other,,,,,walk,0.3729623743241413
,,,,yes,,,,bike,0.15776844093148748
,,,,yes,,,,car,0.38792372368914374
,,,,yes,,,,pt,0.11984177509953294
,,,,yes,,,,ride,0.10098160609395836
,,,,yes,,,,walk,0.2334844541858775
,,,,no,,,,bike,0.2681872011394065
,,,,no,,,,car,0.017223096886855607
,,,,no,,,,pt,0.3587537599120831
,,,,no,,,,ride,0.027677653919981393
,,,,no,,,,walk,0.32815828814167347
,,,,unknown,,,,bike,0.25622279574727413
,,,,unknown,,,,car,0.009089722039026915
,,,,unknown,,,,pt,0.37111394383333424
,,,,unknown,,,,ride,0.027635268016125116
,,,,unknown,,,,walk,0.3359382703642396
,,,,,yes,,,bike,0.2242247950396157
,,,,,yes,,,car,0.30381002584269934
,,,,,yes,,,pt,0.17251648333284897
,,,,,yes,,,ride,0.060180691288069
,,,,,yes,,,walk,0.23926800449676708
,,,,,no,,,bike,0.012112039179326848
,,,,,no,,,car,0.24822592281516279
,,,,,no,,,pt,0.2728022273438366
,,,,,no,,,ride,0.1109368611042273
,,,,,no,,,walk,0.35592294955744663
,,,,,unknown,,,bike,0.07394547531095001
,,,,,unknown,,,car,0.20032874219335153
,,,,,unknown,,,pt,0.2429905105877821
,,,,,unknown,,,ride,0.1508373742323775
,,,,,unknown,,,walk,0.3318978976755388
,,,,,,yes,,bike,0.14479265162029892
,,,,,,yes,,car,0.17048085797952092
,,,,,,yes,,pt,0.36359512433141883
,,,,,,yes,,ride,0.05998896432413645
,,,,,,yes,,walk,0.2611424017446249
,,,,,,no,,bike,0.21567731485086172
,,,,,,no,,car,0.40385245319744195
,,,,,,no,,pt,0.055982255729468855
