age,income,economic_status,employment,car_avail,bike_avail,pt_abo_avail,zone,dist_group,main_mode,share
18 - 25,,,,,,,,5000 - 10000,bike,0.011492856478948644
18 - 25,,,,,,,,5000 - 10000,car,0.01782823070831722
18 - 25,,,,,,,,5000 - 10000,pt,0.11141094021072531
18 - 25,,,,,,,,5000 - 10000,ride,0.02859963464618459
18 - 25,,,,,,,,5000 - 10000,walk,0.0021148589934074057
18 - 25,,,,,,,,10000 - 20000,bike,0.00348931151231604
18 - 25,,,,,,,,10000 - 20000,car,0.04395205985726442
18 - 25,,,,,,,,10000 - 20000,pt,0.020499994465867886
18 - 25,,,,,,,,10000 - 20000,ride,0.0
18 - 25,,,,,,,,10000 - 20000,walk,0.0
18 - 25,,,,,,,,20000+,bike,0.0
18 - 25,,,,,,,,20000+,car,0.01173548962614677
18 - 25,,,,,,,,20000+,pt,0.012321314253061074
18 - 25,,,,,,,,20000+,ride,0.0066439161758066224
18 - 25,,,,,,,,20000+,walk,0.0
25 - 35,,,,,,,,0 - 1000,bike,0.039088226863340014
25 - 35,,,,,,,,0 - 1000,car,0.014478594377143916
25 - 35,,,,,,,,0 - 1000,pt,0.0010461412068675088
25 - 35,,,,,,,,0 - 1000,ride,0.0016605586490670132
25 - 35,,,,,,,,0 - 1000,walk,0.18173814631165436
25 - 35,,,,,,,,1000 - 2000,bike,0.05614081970286834
25 - 35,,,,,,,,1000 - 2000,car,0.028159606665417548
25 - 35,,,,,,,,1000 - 2000,pt,0.02122887161086732
25 - 35,,,,,,,,1000 - 2000,ride,0.004965998882332921
25 - 35,,,,,,,,1000 - 2000,walk,0.062043443199049426
25 - 35,,,,,,,,2000 - 5000,bike,0.0963159006907493
25 - 35,,,,,,,,2000 - 5000,car,0.057763945847002944
25 - 35,,,,,,,,2000 - 5000,pt,0.1000588326317842
25 - 35,,,,,,,,2000 - 5000,ride,0.010848549268892404
25 - 35,,,,,,,,2000 - 5000,walk,0.009997441772587682
25 - 35,,,,,,,,5000 - 10000,bike,0.03313461346777793
25 - 35,,,,,,,,5000 - 10000,car,0.07227737966658888
25 - 35,,,,,,,,5000 - 10000,pt,0.08373994305216938
25 - 35,,,,,,,,5000 - 10000,ride,0.008193798228275253
25 - 35,,,,,,,,5000 - 10000,walk,5.480419456170314e-05
25 - 35,,,,,,,,10000 - 20000,bike,0.00785014524101362
25 - 35,,,,,,,,10000 - 20000,car,0.038892703401081266
25 - 35,,,,,,,,10000 - 20000,pt,0.008426052451354872
25 - 35,,,,,,,,10000 - 20000,ride,0.0053863390008364615
25 - 35,,,,,,,,10000 - 20000,walk,0.0
25 - 35,,,,,,,,20000+,bike,0.0
25 - 35,,,,,,,,20000+,car,0.043785360839784265
25 - 35,,,,,,,,20000+,pt,0.01260689057679395
25 - 35,,,,,,,,20000+,ride,0.00011689220013734774
25 - 35,,,,,,,,20000+,walk,0.0
35 - 66,,,,,,,,0 - 1000,bike,0.041997197904748165
35 - 66,,,,,,,,0 - 1000,car,0.023600145726084407
35 - 66,,,,,,,,0 - 1000,pt,0.002363747834203876
35 - 66,,,,,,,,0 - 1000,ride,0.0015989266678182866
35 - 66,,,,,,,,0 - 1000,walk,0.15437310082771755
35 - 66,,,,,,,,1000 - 2000,bike,0.03436757600929164
35 - 66,,,,,,,,1000 - 2000,car,0.04386461444100719
35 - 66,,,,,,,,1000 - 2000,pt,0.013814966981650944
35 - 66,,,,,,,,1000 - 2000,ride,0.006287119374991612
35 - 66,,,,,,,,1000 - 2000,walk,0.04376889026967372
35 - 66,,,,,,,,2000 - 5000,bike,0.05686214900629102
35 - 66,,,,,,,,2000 - 5000,car,0.1282912305009911
35 - 66,,,,,,,,2000 - 5000,pt,0.04776578386549618
35 - 66,,,,,,,,2000 - 5000,ride,0.010437561868797013
35 - 66,,,,,,,,2000 - 5000,walk,0.013931877971797126
35 - 66,,,,,,,,5000 - 10000,bike,0.045744535206780554
35 - 66,,,,,,,,5000 - 10000,car,0.1171323009746668
35 - 66,,,,,,,,5000 - 10000,pt,0.05442533439210847
35 - 66,,,,,,,,5000 - 10000,ride,0.009192691888318862
35 - 66,,,,,,,,5000 - 10000,walk,0.0016733078554519313
35 - 66,,,,,,,,10000 - 20000,bike,0.010313845454945141
35 - 66,,,,,,,,10000 - 20000,car,0.06845935181991943
35 - 66,,,,,,,,10000 - 20000,pt,0.0134589305039603
35 - 66,,,,,,,,10000 - 20000,ride,0.004692581927398328
35 - 66,,,,,,,,10000 - 20000,walk,0.0
35 - 66,,,,,,,,20000+,bike,0.002639300996993657
35 - 66,,,,,,,,20000+,car,0.034893108303574366
35 - 66,,,,,,,,20000+,pt,0.012767512321439951
35 - 66,,,,,,,,20000+,ride,0.001267744760052199
35 - 66,,,,,,,,20000+,walk,1.4564343830379392e-05
66+,,,,,,,,0 - 1000,bike,0.034341623796734555
66+,,,,,,,,0 - 1000,car,0.018312957554494098
66+,,,,,,,,0 - 1000,pt,0.01191362242502011
66+,,,,,,,,0 - 1000,ride,0.006413497900350806
66+,,,,,,,,0 - 1000,walk,0.2594427763473353
66+,,,,,,,,1000 - 2000,bike,0.02416684246712368
66+,,,,,,,,1000 - 2000,car,0.045083044351759034
66+,,,,,,,,1000 - 2000,pt,0.027004126849473474
66+,,,,,,,,1000 - 2000,ride,0.02045605040818009
66+,,,,,,,,1000 - 2000,walk,0.05796025841466264
66+,,,,,,,,2000 - 5000,bike,0.013802814403496896
66+,,,,,,,,2000 - 5000,car,0.10821514766750973
66+,,,,,,,,2000 - 5000,pt,0.08664223034156569
66+,,,,,,,,2000 - 5000,ride,0.04428561884662954
66+,,,,,,,,2000 - 5000,walk,0.020446693476655668
66+,,,,,,,,5000 - 10000,bike,0.0052594545792680625
66+,,,,,,,,5000 - 10000,car,0.06413235010803957
66+,,,,,,,,5000 - 10000,pt,0.05410094698844778
66+,,,,,,,,5000 - 10000,ride,0.023533443593686774
66+,,,,,,,,5000 - 10000,walk,0.005322579891888887
