dist,walk,bike,car,pt,ride
0,0.9475369501375085,0.05242966787120365,3.338199128778479e-05,0.0,0.0
100,0.9026803032299721,0.08047808499835038,0.014065652830259592,0.0019917325045093635,0.0007842264369087212
200,0.8548736235440888,0.10583523694614641,0.0274237222753713,0.00538226586931125,0.0064851513650823105
300,0.8097976518497662,0.12917972280660175,0.04029305445082583,0.008761987078738757,0.011967583814067423
400,0.7672328308703102,0.15069964124748178,0.0526875418555347,0.012167462803677384,0.017212523222996025
500,0.7268244222393185,0.1707929217950349,0.06461375698508834,0.015590885322470986,0.02217801365808716
600,0.6863326140859091,0.19091148561078183,0.07665380377337326,0.019055499230960695,0.027046597298975218
700,0.6409084477029072,0.20937762564702878,0.09157005672774796,0.024694989274944377,0.03344888064737156
800,0.592181655125766,0.2274176598190474,0.10672586622967467,0.031977164852669035,0.04169765397284284
900,0.5421333870165791,0.24501470941346845,0.1216289268882817,0.04017365162582357,0.05104932505584708
1000,0.4931919245491901,0.2613980668700718,0.13660343545395823,0.04882065164804743,0.0599859214787325
1100,0.4484433923608212,0.2742898042217467,0.1512982431015171,0.058659612600327295,0.06730894771558768
1200,0.4083384791977793,0.2823090485499746,0.16573684411611747,0.07006149135900978,0.07355413677711889
1300,0.36900095671428007,0.2874640404846307,0.180532047367509,0.08308036448077905,0.07992259095280113
1400,0.3294874144051711,0.2912809622965841,0.193945475294755,0.09900356137190133,0.08628258663158841
1500,0.2908584213149354,0.29545881267034246,0.2066515360600304,0.11508623382837073,0.09194499612632105
1600,0.2550202007410359,0.29792592959948516,0.2213783735594178,0.1294136297923114,0.09626186630774967
1700,0.2251885407927137,0.2965398282157858,0.23614054181090044,0.1429856520572775,0.09914543712332267
1800,0.19791662361914708,0.2922877792892885,0.25030265246626116,0.15912062137894042,0.10037232324636292
1900,0.1730484528355341,0.2840476752408908,0.26258917385335234,0.17923777139570074,0.10107692667452209
2000,0.15365933762138856,0.2701527704867458,0.2707060903970104,0.2023054131099225,0.10317638838493273
2100,0.13723408240758456,0.25555780886827634,0.27832148894819786,0.22330944732035385,0.10557717245558737
2200,0.1221663624092854,0.24183820328169875,0.2879466114713387,0.24093582734295635,0.10711299549472082
2300,0.10758291191177408,0.2298973779327043,0.2978842383053067,0.2571301444606938,0.10750532738952119
2400,0.0914324121122245,0.22047735052479558,0.30791752416357615,0.2714308671610801,0.10874184603832363
2500,0.0755504285669466,0.2153765496219479,0.3161830743624953,0.28190921317079515,0.11098073427781512
2600,0.06427116999660121,0.2124808725198295,0.32072665197599043,0.2900824476114977,0.11243885789608116
2700,0.05723511135611737,0.21204865122025485,0.32371338437120817,0.2934128125727481,0.11359004047967147
2800,0.05214411075071811,0.21320328997974183,0.32573481151575995,0.29356662248573473,0.11535116526804531
2900,0.04636347023076706,0.21738228945077318,0.32460295500131414,0.2933870719541456,0.11826421336300012
3000,0.04015153801407345,0.22390943788314946,0.3211038643982131,0.29262042297649876,0.1222147367280652
3100,0.03518739905372199,0.22888190205712583,0.3160923621525418,0.29349270347275086,0.12634563326385942
3200,0.032317597555920466,0.2290856172966609,0.31161075829335827,0.2971916913464942,0.12979433550756622
3300,0.03019340748094977,0.22562770851289435,0.3105079421505448,0.30301696649179555,0.13065397536381548
3400,0.028098892727713064,0.22105339441710223,0.31221330458271435,0.30972359068726363,0.12891081758520664
3500,0.02465170584334508,0.2148635116762471,0.3175962575428846,0.3151209418301864,0.12776758310733688
3600,0.01971256014181062,0.20674091293154434,0.32718961086318893,0.3174522602222723,0.12890465584118382
3700,0.014698403783655445,0.2014323092808508,0.3365181130753168,0.3179701722657393,0.1293810015944375
3800,0.011170812745963087,0.20031479154565654,0.3435303988918696,0.318959011726759,0.1260249850897518
3900,0.008727714778841423,0.2023931178217284,0.3470246361568217,0.3218036738367027,0.12005085740590586
4000,0.007923322106630562,0.20429795808536114,0.34621526035212946,0.32589416970428264,0.11566928975159634
4100,0.008783479302979673,0.20518014509697685,0.34285126614514244,0.3272757910294397,0.11590931842546136
4200,0.010845476993238946,0.20523943139133385,0.33887259760655464,0.32515909580703684,0.11988339820183563
4300,0.013762740448966679,0.20350143017395553,0.3355872099073934,0.3236615007752998,0.12348711869438452
4400,0.016253236178874354,0.20225597714422824,0.33256549601666885,0.32444521932978654,0.12448007133044205
4500,0.0178957142139847,0.20306771499335877,0.3305208493100543,0.325290916723937,0.1232248047586653
4600,0.018889161653544262,0.20494728390466616,0.33087281102224714,0.3237195833535184,0.12157116006602388
4700,0.019539120164577813,0.2058970218915455,0.3350961194877751,0.31785634174167054,0.12161139671443111
4800,0.019561218280713027,0.2074977385729766,0.3404936009527327,0.31126300038390364,0.12118444180967408
4900,0.018960331889428892,0.20738948241829333,0.3439825209119386,0.31102559688709963,0.11864206789323953
5000,0.01735211909058451,0.20465701021528007,0.3457839840333832,0.3174698550044369,0.11473703165631535
5100,0.014661468656138986,0.20479330854542313,0.34256432631398,0.3281122282240315,0.10986866826042635
5200,0.012159422937800759,0.21011272684951843,0.3330989690240717,0.3389845273161767,0.10564435387243239
5300,0.010835492053170779,0.22020150994613227,0.31991369299941663,0.3479169430476922,0.1011323619535882
5400,0.010179042513220033,0.22962896286137444,0.306030079861825,0.35810390261678643,0.09605801214679417
5500,0.00990720550844898,0.23240226381989199,0.2955234090095089,0.36945133638031324,0.09271578528183684
5600,0.009475091544909157,0.22913262156306594,0.2898971170773978,0.3776045745644092,0.09389059525021788
5700,0.008786351833232769,0.2225760255290896,0.2930559154468132,0.3773376283889432,0.09824407880192124
5800,0.008003907138518437,0.2139439886597769,0.3048777557666298,0.3694583289550342,0.10371601948004057
5900,0.007162726937891415,0.20570404289856634,0.32033456307396696,0.3579435456675855,0.10885512142198987
6000,0.007359093360426401,0.19491732868115597,0.3350546632514477,0.3491221364807378,0.11354677822623206
6100,0.010464807050884792,0.17515428183944998,0.34744563163817344,0.3462929781165523,0.12064230135493952
6200,0.014777876232429014,0.151741191026578,0.3602697775338094,0.34300175926805343,0.13020939593913022
6300,0.018367036770898282,0.13649184837915637,0.37210512838837084,0.33502638867170176,0.13800959778987282
6400,0.020556331001099885,0.12921952633929545,0.3800579746451028,0.32891433358907124,0.14125183442543052
6500,0.021343590623637616,0.12797404348588218,0.3823344844984737,0.3305716907083287,0.1377761906836778
6600,0.021182527921864026,0.13059452663276977,0.3800307846993022,0.33906737624232935,0.12912478450373469
6700,0.02025857236435708,0.13573852749319087,0.3772817776840613,0.3464442759706177,0.12027684648777306
6800,0.01843015445388774,0.14104058827560356,0.37602188977193646,0.349489094880367,0.11501827261820517
6900,0.015986859457308933,0.14381368206091505,0.38024583201566425,0.34968488314962703,0.11026874331648456
7000,0.012777531741627136,0.14306415760472493,0.3931110268744068,0.34707887401835635,0.10396840976088487
7100,0.00864175335656398,0.140924000391402,0.4144255907820592,0.34027375289430273,0.09573490257567216
7200,0.005253409195134889,0.13880144131719901,0.4370097922703611,0.3323291476951488,0.08660620952215635
7300,0.004561493776993734,0.13692327800384224,0.4529289932297262,0.32730521287157166,0.07828102211786611
7400,0.005020814788852963,0.13468554327397098,0.4628100543144626,0.32632617934035313,0.07115740828236042
7500,0.006373478238226665,0.13179156585856297,0.465550942335059,0.3299121268660951,0.06637188670205624
7600,0.007975671871961715,0.12866336619239516,0.46436798784906147,0.33568546749633016,0.06330750659025142
7700,0.008943448927435729,0.12576578187140106,0.4624999332711062,0.34205174181689857,0.06073909411315822
7800,0.00877699164088584,0.12482915452754734,0.46162128646049894,0.34582292571145545,0.058949641659612306
7900,0.0078004403007233235,0.1263020089262979,0.4609919789694122,0.34587445964972785,0.0590311121538386
8000,0.006931276402725362,0.1259713164346766,0.4584121945731717,0.34760690417585566,0.061078308413570655
8100,0.0067351694386420915,0.121013603538923,0.45941397288912533,0.35020362427132934,0.06263362986198039
8200,0.006453366262242806,0.11482217239156277,0.47095701498161924,0.3449838352127552,0.06278361115181999
8300,0.005568013522214595,0.1085723796529231,0.490293661932649,0.3331092942792783,0.06245665061293495
8400,0.003972826214701678,0.10301817719135618,0.5076186805193383,0.32415840426914727,0.061231911805456556
8500,0.0019773949774506824,0.09912205017169554,0.5186235025107881,0.32018589781675494,0.06009115452331071
8600,0.00040991881758483653,0.09373295924482705,0.5247522454739747,0.31748122081447194,0.06362365564914146
8700,0.0,0.08708484791069222,0.5262004673506924,0.31306793287754825,0.07364675186106727
8800,0.0,0.08337997581798182,0.5199766176829397,0.30987902973213255,0.08676437676694601
8900,0.0005844206559581404,0.08029501731691348,0.5049070597625421,0.31496602294086146,0.09924747932372475
9000,0.0031153752204985618,0.07754283312223792,0.4842462100426618,0.3262344015226385,0.10886118009196318
9100,0.006995751987894464,0.07471015098991006,0.4628686998489524,0.33853929987854536,0.11688609729469776
9200,0.010950612626999708,0.0668727887282233,0.44736948194551723,0.35164435239454206,0.12316276430471758
9300,0.01386508416685156,0.05463294203432225,0.44665546734355105,0.3589226062058811,0.12592390024939415
9400,0.015420803711453065,0.04520136036361046,0.456933651381967,0.3598494218321387,0.12259476271083079
9500,0.015990509157612968,0.03994731490854378,0.46066966561608635,0.3718622504044418,0.11153025991331508
