purpose,h,arrival,departure
dining,7,0.0,0.0005503578018207619
dining,8,0.0005503578018207619,0.0
dining,9,0.0,0.00033243139106575937
dining,10,0.000599987066057323,0.00047866397157223905
dining,11,0.002842923969324033,0.004106102091660745
dining,12,0.008303676071645848,0.007031061779183071
dining,13,0.0021126467417815612,0.002096149879975619
dining,14,0.0003561834294478574,0.0002490808001770878
dining,15,0.0006856758177545021,0.0007039412583194456
dining,16,0.0016524051940196988,0.0015560671180768577
dining,17,0.0014769178173223434,0.002089189509410797
dining,18,0.0024619692539298594,0.0023016386382689233
dining,19,0.0011618264919825054,0.0008574177549180941
dining,20,0.00042739468879868616,0.00038514530211204766
dining,21,0.0005583127281486473,0.00045302977547217956
dining,22,0.00040732748763687914,0.00040732748763687914
dining,23,0.00010528295267646772,0.00010528295267646772
edu_higher,6,5.228929588281757e-06,0.00031085391418539745
edu_higher,7,0.001531228624198937,0.0019269010595301796
edu_higher,8,0.0019953015195343514,0.0024374131394212383
edu_higher,9,0.003138166826073139,0.0021794639532922537
edu_higher,10,0.0004752963229587722,0.0005899559474301236
edu_higher,11,0.00036550125222758594,6.613546072187488e-05
edu_higher,12,0.00024996913257625537,0.0006528070436260183
edu_higher,13,0.0006126615820435324,0.0002098236709937695
edu_higher,14,0.0010196612909854324,0.0010196612909854324
edu_higher,15,8.226352127429557e-05,0.0002457763312217522
edu_higher,16,0.0008172192735635464,0.0006537064636160897
edu_higher,18,2.3284373130903765e-05,2.3284373130903765e-05
edu_kiga,6,0.0003796828396085225,0.0009806793848675377
edu_kiga,7,0.006403180451288144,0.006736825818392521
edu_kiga,8,0.007680742294100309,0.007930551924491071
edu_kiga,9,0.0014494224002959057,0.00036116870675059927
edu_kiga,10,0.00020446541283423758,0.00025626588378917817
edu_kiga,11,0.00015311882586921304,0.00011684909838833225
edu_kiga,12,6.466117548352328e-05,0.0
edu_kiga,14,0.0,4.160381232511546e-05
edu_kiga,15,0.00036914757819038295,0.0004753228902824383
edu_kiga,16,0.00014777912441717075,0.0
edu_kiga,17,4.7067417199384165e-05,0.0
edu_other,5,0.0,0.00015216408927854817
edu_other,6,0.00015216408927854817,0.0008192568931064844
edu_other,7,0.0010272175403670243,0.0008900430142632555
edu_other,8,0.0007681485486526966,0.0005184861607999998
edu_other,9,0.0005484197566069244,0.00012429116561909887
edu_other,10,8.291388162193273e-06,0.0
